eth,hotel,univ,zara1,zara2,avg,name
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.2414414815931332,,,,,,
1.2294775053971954,0.6846082341829905,,,,,
1.1315106050768462,0.6751841572286806,0.9103484795322212,,,,
1.2082160459342346,0.6538245296790781,0.8402228863461044,0.5402090302730221,,,
1.1197261281750326,0.6596689134565246,0.9786375524101883,0.5658525563298847,0.4995938725132283,,
1.195880286741648,0.773366414111661,0.906799727672165,0.5810706184848982,0.4788634533734283,0.78719610007676,
1.2316204916408304,0.6533232819866829,0.8489630325708357,0.504864287632213,0.4713162953194264,0.7420174778299977,9-3.8177
